"player_id","firstName","lastName","nationality","birthCity","primaryPosition","birthDate","link"
"8468524","Ilya","Bryzgalov","RUS","Togliatti","G",1980-06-22,"/api/v1/people/8468524"
"8470609","Steve","Bernier","CAN","Quebec City","RW",1985-03-31,"/api/v1/people/8470609"
"8465210","Pavel","Kubina","CZE","Celadna","D",1977-04-15,"/api/v1/people/8465210"
"8471816","Mark","Fayne","USA","Nashua","D",1987-05-15,"/api/v1/people/8471816"
"8468486","Scott","Hartnell","CAN","Regina","LW",1982-04-18,"/api/v1/people/8468486"
"8470123","Cam","Janssen","USA","St. Louis","RW",1984-04-15,"/api/v1/people/8470123"
"8470640","Matt","Carle","USA","Anchorage","D",1984-09-25,"/api/v1/people/8470640"
"8473512","Claude","Giroux","CAN","Hearst","C",1988-01-12,"/api/v1/people/8473512"
"8475775","Tye","McGinn","CAN","Fergus","LW",1990-07-29,"/api/v1/people/8475775"
"8470920","David","Clarkson","CAN","Toronto","RW",1984-03-31,"/api/v1/people/8470920"
"8470601","Braydon","Coburn","CAN","Shaunavon","D",1985-02-27,"/api/v1/people/8470601"
"8475342","Oliver","Lauridsen","DNK","Gentofte","D",1989-03-24,"/api/v1/people/8475342"
"8470171","Max","Talbot","CAN","Lemoyne","C",1984-02-11,"/api/v1/people/8470171"
"8474892","Eric","Wellwood","CAN","Windsor","LW",1990-03-06,"/api/v1/people/8474892"
"8476158","Harry","Zolnierczyk","CAN","Toronto","LW",1987-09-01,"/api/v1/people/8476158"
"8475185","Jacob","Josefson","SWE","Stockholm","C",1991-03-02,"/api/v1/people/8475185"
"8472394","Peter","Harrold","USA","Kirtland Hills","D",1983-06-08,"/api/v1/people/8472394"
"8462535","Jody","Shelley","CAN","Thompson","LW",1976-02-07,"/api/v1/people/8462535"
"8448208","Jaromir","Jagr","CZE","Kladno","RW",1972-02-15,"/api/v1/people/8448208"
"8469623","Marek","Zidlicky","CZE","Most","D",1977-02-03,"/api/v1/people/8469623"
"8468038","Michael","Leighton","CAN","Petrolia","G",1981-05-19,"/api/v1/people/8468038"
"8474736","Zac","Rinaldo","CAN","Mississauga","C",1990-06-15,"/api/v1/people/8474736"
"8473646","Ryan","Carter","USA","White Bear Lake","LW",1983-08-03,"/api/v1/people/8473646"
"8471269","Nicklas","Grossmann","SWE","Stockholm","D",1985-01-22,"/api/v1/people/8471269"
"8471467","Matthew","Ford","USA","West Hills","RW",1984-10-09,"/api/v1/people/8471467"
"8470610","Zach","Parise","USA","Minneapolis","LW",1984-07-28,"/api/v1/people/8470610"
"8475430","Brandon","Manning","CAN","Prince George","D",1990-06-04,"/api/v1/people/8475430"
"8460626","Bryce","Salvador","CAN","Brandon","D",1976-02-11,"/api/v1/people/8460626"
"8460465","Petr","Sykora","CZE","Plzen","RW",1976-11-19,"/api/v1/people/8460465"
"8460542","Patrik","Elias","CZE","Trebic","C",1976-04-13,"/api/v1/people/8460542"
"8471636","Tim","Sestito","USA","Rome","LW",1984-08-28,"/api/v1/people/8471636"
"8476209","Mike","Sislo","USA","Superior","RW",1988-01-20,"/api/v1/people/8476209"
"8471712","Jeff","Frazee","USA","Edina","G",1987-05-13,"/api/v1/people/8471712"
"8471236","Andrej","Meszaros","SVK","Povazská Bystrica","D",1985-10-13,"/api/v1/people/8471236"
"8473580","Matthew","Corrente","CAN","Mississauga","D",1988-03-17,"/api/v1/people/8473580"
"8471365","Steven","Zalewski","USA","Utica","C",1986-08-20,"/api/v1/people/8471365"
"8473944","Matt","Anderson","USA","West Islip","RW",1982-10-31,"/api/v1/people/8473944"
"8475248","Alexander","Urbom","SWE","Stockholm","D",1990-12-20,"/api/v1/people/8475248"
"8473592","Vladimir","Zharkov","RUS","Elektrostal","RW",1988-01-10,"/api/v1/people/8473592"
"8467436","Jay","Leach","USA","Syracuse","D",1979-09-02,"/api/v1/people/8467436"
"8476234","Keith","Kinkaid","USA","Farmingville","G",1989-07-04,"/api/v1/people/8476234"
"8475060","Matt","Taormina","USA","Warren","D",1986-10-20,"/api/v1/people/8475060"
"8473927","Brad","Mills","CAN","Terrace","C",1983-05-03,"/api/v1/people/8473927"
"8474614","Brandon","Burlon","CAN","Nobleton","D",1990-03-05,"/api/v1/people/8474614"
"8474219","Dan","Kelly","USA","Plattsburgh","D",1989-05-17,"/api/v1/people/8474219"
"8475199","Eric","Gelinas","CAN","Vanier","D",1991-05-08,"/api/v1/people/8475199"
"8474023","Mike","Hoeffel","USA","North Oaks","LW",1989-04-09,"/api/v1/people/8474023"
"8474582","Mattias","Tedenby","SWE","Vetlanda","RW",1990-02-21,"/api/v1/people/8474582"
"8467452","Rob","Scuderi","USA","Syosset","D",1978-12-30,"/api/v1/people/8467452"
"8471718","Marc-Andre","Cliche","CAN","Rouyn-Noranda","C",1987-03-23,"/api/v1/people/8471718"
"8470662","Colin","Fraser","CAN","Sicamous","C",1985-01-28,"/api/v1/people/8470662"
"8476404","Andy","Andreoff","CAN","Pickering","C",1991-05-17,"/api/v1/people/8476404"
"8474594","Slava","Voynov","RUS","Chelyabinsk","D",1990-01-15,"/api/v1/people/8474594"
"8475160","Kyle","Clifford","CAN","Ayr","LW",1991-01-13,"/api/v1/people/8475160"
"8471208","Dustin","Penner","CAN","Winkler","RW",1982-09-28,"/api/v1/people/8471208"
"8474518","Davis","Drewiske","USA","Hudson","D",1984-11-22,"/api/v1/people/8474518"
"8473908","Kevin","Westgarth","CAN","Amherstburg","RW",1984-02-07,"/api/v1/people/8473908"
"8465185","Willie","Mitchell","CAN","Port McNeill","D",1977-04-23,"/api/v1/people/8465185"
"8471685","Anze","Kopitar","SVN","Jesenice","C",1987-08-24,"/api/v1/people/8471685"
"8473664","Justin","Azevedo","CAN","West Lorne","C",1988-04-01,"/api/v1/people/8473664"
"8475726","Tyler","Toffoli","CAN","Scarborough","RW",1992-04-24,"/api/v1/people/8475726"
"8474638","Andrew","Campbell","CAN","Caledonia","D",1988-02-04,"/api/v1/people/8474638"
"8470755","Brad","Richardson","CAN","Belleville","C",1985-02-04,"/api/v1/people/8470755"
"8475325","Jordan","Nolan","CAN","Garden River, First Nations","C",1989-06-23,"/api/v1/people/8475325"
"8474563","Drew","Doughty","CAN","London","D",1989-12-08,"/api/v1/people/8474563"
"8474162","Jake","Muzzin","CAN","Woodstock","D",1989-02-21,"/api/v1/people/8474162"
"8475096","Patrick","Mullen","USA","Pittsburgh","D",1986-05-06,"/api/v1/people/8475096"
"8474166","Alec","Martinez","USA","Rochester Hills","D",1987-07-26,"/api/v1/people/8474166"
"8474681","Andrei","Loktionov","RUS","Voskresensk","C",1990-05-30,"/api/v1/people/8474681"
"8468526","Jarret","Stoll","CAN","Melville","C",1982-06-24,"/api/v1/people/8468526"
"8470604","Jeff","Carter","CAN","London","C",1985-01-01,"/api/v1/people/8470604"
"8470606","Dustin","Brown","USA","Ithaca","RW",1984-11-04,"/api/v1/people/8470606"
"8474889","Martin","Jones","CAN","North Vancouver","G",1990-01-10,"/api/v1/people/8474889"
"8470121","Matt","Greene","USA","Grand Ledge","D",1983-05-13,"/api/v1/people/8470121"
"8466182","Henrik","Tallinder","SWE","Stockholm","D",1979-01-10,"/api/v1/people/8466182"
"8471733","Rich","Clune","CAN","Toronto","LW",1987-04-25,"/api/v1/people/8471733"
"8471734","Jonathan","Quick","USA","Milford","G",1986-01-21,"/api/v1/people/8471734"
"8475223","Linden","Vey","CAN","Wakaw","RW",1991-07-17,"/api/v1/people/8475223"
"8467346","Simon","Gagne","CAN","Ste. Foy","LW",1980-02-29,"/api/v1/people/8467346"
"8470617","Mike","Richards","CAN","Kenora","C",1985-02-11,"/api/v1/people/8470617"
"8473453","Trevor","Lewis","USA","Salt Lake City","C",1987-01-08,"/api/v1/people/8473453"
"8474100","Dwight","King","CAN","Meadow Lake","LW",1989-07-05,"/api/v1/people/8474100"
"8474066","Thomas","Hickey","CAN","Calgary","D",1989-02-08,"/api/v1/people/8474066"
"8468508","Justin","Williams","CAN","Cobourg","RW",1981-10-04,"/api/v1/people/8468508"
"8473419","Brad","Marchand","CAN","Halifax","LW",1988-05-11,"/api/v1/people/8473419"
"8470905","Randy","Jones","CAN","Quispamsis","D",1981-07-23,"/api/v1/people/8470905"
"8474749","Matt","Bartkowski","USA","Pittsburgh","D",1988-06-04,"/api/v1/people/8474749"
"8471717","Adam","McQuaid","CAN","Charlottetown","D",1986-10-12,"/api/v1/people/8471717"
"8471916","Mike","Angelidis","CAN","Woodbridge","LW",1985-06-27,"/api/v1/people/8471916"
"8471276","David","Krejci","CZE","Sternberk","C",1986-04-28,"/api/v1/people/8471276"
"8470187","Johnny","Boychuk","CAN","Edmonton","D",1984-01-19,"/api/v1/people/8470187"
"8471514","Rich","Peverley","CAN","Kingston","C",1982-07-08,"/api/v1/people/8471514"
"8471314","Mike","Lundin","USA","Burnsville","D",1984-09-24,"/api/v1/people/8471314"
"8475167","Victor","Hedman","SWE","Ornskoldsvik","D",1990-12-18,"/api/v1/people/8475167"
"8470230","Daniel","Paille","CAN","Welland","LW",1984-04-15,"/api/v1/people/8470230"
"8467925","Adam","Hall","USA","Kalamazoo","RW",1980-08-14,"/api/v1/people/8467925"
"8469765","Marc-Andre","Bergeron","CAN","Trois-Rivieres","D",1980-10-13,"/api/v1/people/8469765"
"8467329","Vincent","Lecavalier","CAN","Ile Bizard","C",1980-04-21,"/api/v1/people/8467329"
"8467967","Chris","Kelly","CAN","Toronto","C",1980-11-11,"/api/v1/people/8467967"
"8470638","Patrice","Bergeron","CAN","Ancienne-Lorette","C",1985-07-24,"/api/v1/people/8470638"
"8468575","Dominic","Moore","CAN","Thornhill","C",1980-08-03,"/api/v1/people/8468575"
"8450725","Mark","Recchi","CAN","Kamloops","RW",1968-02-01,"/api/v1/people/8450725"
"8470596","Nathan","Horton","CAN","Welland","RW",1985-05-29,"/api/v1/people/8470596"
"8471767","Blair","Jones","CAN","Central Butte","C",1986-09-27,"/api/v1/people/8471767"
"8470634","Matt","Smaby","USA","Minneapolis","D",1984-10-14,"/api/v1/people/8470634"
"8474682","Dustin","Tokarski","CAN","Watson","G",1989-09-16,"/api/v1/people/8474682"
"8460806","Dwayne","Roloson","CAN","Simcoe","G",1969-10-12,"/api/v1/people/8460806"
"8474564","Steven","Stamkos","CAN","Markham","C",1990-02-07,"/api/v1/people/8474564"
"8474002","Colby","Cohen","USA","Villanova","D",1989-04-25,"/api/v1/people/8474002"
"8473473","Milan","Lucic","CAN","Vancouver","LW",1988-06-07,"/api/v1/people/8473473"
"8474000","Steven","Kampfer","USA","Ann Arbor","D",1988-09-24,"/api/v1/people/8474000"
"8465978","Shawn","Thornton","CAN","Oshawa","LW",1977-07-23,"/api/v1/people/8465978"
"8471418","Anton","Khudobin","RUS","Ust-Kamenogorsk","G",1986-05-07,"/api/v1/people/8471418"
"8469619","Dennis","Seidenberg","DEU","Schwenningen","D",1981-07-18,"/api/v1/people/8469619"
"8465056","Trent","Whitfield","CAN","Alameda","C",1977-06-17,"/api/v1/people/8465056"
"8466142","Eric","Brewer","CAN","Vernon","D",1979-04-17,"/api/v1/people/8466142"
"8470804","Mathieu","Roy","CAN","St. Georges","D",1983-08-10,"/api/v1/people/8470804"
"8470169","Gregory","Campbell","CAN","London","C",1983-12-17,"/api/v1/people/8470169"
"8474095","Dana","Tyrell","CAN","Airdrie","C",1989-04-23,"/api/v1/people/8474095"
"8465009","Zdeno","Chara","SVK","Trencin","D",1977-03-18,"/api/v1/people/8465009"
"8467988","Ryan","Malone","USA","Pittsburgh","LW",1979-12-01,"/api/v1/people/8467988"
"8470615","Marc-Antoine","Pouliot","CAN",NA,"C",1985-05-22,"/api/v1/people/8470615"
"8467545","Michael","Ryder","CAN","Bonavista","RW",1980-03-31,"/api/v1/people/8467545"
"8465200","Tomas","Kaberle","CZE","Rakovnik","D",1978-03-02,"/api/v1/people/8465200"
"8466333","Andrew","Ference","CAN","Edmonton","D",1979-03-17,"/api/v1/people/8466333"
"8471703","Steve","Downie","CAN","Newmarket","RW",1987-04-03,"/api/v1/people/8471703"
"8466378","Martin","St. Louis","CAN","Laval","RW",1975-06-18,"/api/v1/people/8466378"
"8465122","Brett","Clark","CAN","Wapella","D",1976-12-23,"/api/v1/people/8465122"
"8474657","Jamie","Arniel","CAN","Kingston","C",1989-11-16,"/api/v1/people/8474657"
"8473962","Teddy","Purcell","CAN","St. John's","LW",1985-09-08,"/api/v1/people/8473962"
"8470176","Sean","Bergenheim","FIN","Helsinki","LW",1984-02-08,"/api/v1/people/8470176"
"8471668","Mattias","Ritola","SWE","Borlange","C",1987-03-14,"/api/v1/people/8471668"
"8470775","Nate","Thompson","USA","Anchorage","C",1984-10-05,"/api/v1/people/8470775"
"8475794","Tyler","Seguin","CAN","Brampton","C",1992-01-31,"/api/v1/people/8475794"
"8460703","Tim","Thomas","USA","Flint","G",1974-04-15,"/api/v1/people/8460703"
"8460503","Mattias","Ohlund","SWE","Pitea","D",1976-09-09,"/api/v1/people/8460503"
"8475150","Jordan","Caron","CAN","Sayabec","RW",1990-11-02,"/api/v1/people/8475150"
"8460661","Shane","Hnidy","CAN","Neepawa","D",1975-11-08,"/api/v1/people/8460661"
"8469608","Mike","Smith","CAN","Kingston","G",1982-03-22,"/api/v1/people/8469608"
"8471958","Dan","Girardi","CAN","Welland","D",1984-04-29,"/api/v1/people/8471958"
"8471873","Anton","Stralman","SWE","Tibro","D",1986-08-01,"/api/v1/people/8471873"
"8473932","Darroll","Powe","CAN","Saskatoon","C",1985-06-22,"/api/v1/people/8473932"
"8475118","Matt","Gilroy","USA","North Bellmore","D",1984-07-20,"/api/v1/people/8475118"
"8470192","Steve","Eminger","CAN","Woodbridge","D",1983-10-31,"/api/v1/people/8470192"
"8475243","Ryan","Bourque","USA","Boxford","C",1991-01-03,"/api/v1/people/8475243"
"8474230","Micheal","Haley","CAN","Guelph","C",1986-03-30,"/api/v1/people/8474230"
"8474151","Ryan","McDonagh","USA","St. Paul","D",1989-06-13,"/api/v1/people/8474151"
"8458938","Roman","Hamrlik","CZE","Zlin","D",1974-04-12,"/api/v1/people/8458938"
"8462033","Wade","Redden","CAN","Lloydminster","D",1977-06-12,"/api/v1/people/8462033"
"8465025","Arron","Asham","CAN","Portage la Prairie","RW",1978-04-13,"/api/v1/people/8465025"
"8467881","Taylor","Pyatt","CAN","Thunder Bay","LW",1981-08-19,"/api/v1/people/8467881"
"8473544","Derick","Brassard","CAN","Hull","C",1987-09-22,"/api/v1/people/8473544"
"8471686","Marc","Staal","CAN","Thunder Bay","D",1987-01-13,"/api/v1/people/8471686"
"8470232","Kris","Newbury","CAN","Brampton","C",1982-02-19,"/api/v1/people/8470232"
"8474678","Jason","Missiaen","CAN","Chatham","G",1990-04-25,"/api/v1/people/8474678"
"8475692","Mats","Zuccarello","NOR","Oslo","RW",1987-09-01,"/api/v1/people/8475692"
"8476462","Dougie","Hamilton","CAN","Toronto","D",1993-06-17,"/api/v1/people/8476462"
"8470041","Rick","Nash","CAN","Brampton","LW",1984-06-16,"/api/v1/people/8470041"
"8469534","Aaron","Johnson","CAN","Port Hawkesbury","D",1983-04-30,"/api/v1/people/8469534"
"8471339","Ryan","Callahan","USA","Rochester","RW",1985-03-21,"/api/v1/people/8471339"
"8468685","Henrik","Lundqvist","SWE","Are","G",1982-03-02,"/api/v1/people/8468685"
"8459454","Jay","Pandolfo","USA","Winchester","LW",1974-12-27,"/api/v1/people/8459454"
"8473432","Derek","Dorsett","CAN","Kindersley","RW",1986-12-20,"/api/v1/people/8473432"
"8471695","Tuukka","Rask","FIN","Savonlinna","G",1987-03-10,"/api/v1/people/8471695"
"8476468","J.T.","Miller","USA","East Palestine","C",1993-03-14,"/api/v1/people/8476468"
"8474772","Stu","Bickel","USA","Chanhassen","D",1986-10-02,"/api/v1/people/8474772"
"8474850","Brandon","Mashinter","CAN","Bradford","LW",1988-09-20,"/api/v1/people/8474850"
"8475184","Chris","Kreider","USA","Boxford","LW",1991-04-30,"/api/v1/people/8475184"
"8475186","John","Moore","USA","Winnetka","D",1990-11-19,"/api/v1/people/8475186"
"8476792","Torey","Krug","USA","Livonia","D",1991-04-12,"/api/v1/people/8476792"
"8473484","Kaspars","Daugavins","LVA","Riga","LW",1988-05-18,"/api/v1/people/8473484"
"8474176","Carl","Hagelin","SWE","Sodertalje","LW",1988-08-23,"/api/v1/people/8474176"
"8475660","Cam","Talbot","CAN","Caledonia","G",1987-07-05,"/api/v1/people/8475660"
"8471262","Carl","Soderberg","SWE","Malmö","C",1985-10-12,"/api/v1/people/8471262"
"8469622","Ryane","Clowe","CAN","St. John's","LW",1982-09-30,"/api/v1/people/8469622"
"8467389","Brad","Richards","CAN","Murray Hbr.","C",1980-05-02,"/api/v1/people/8467389"
"8470619","Brian","Boyle","USA","Hingham","C",1984-12-18,"/api/v1/people/8470619"
"8474613","Derek","Stepan","USA","Hastings","C",1990-06-18,"/api/v1/people/8474613"
"8475749","Christian","Thomas","CAN","Toronto","LW",1992-05-26,"/api/v1/people/8475749"
"8474584","Michael","Del Zotto","CAN","Stouffville","D",1990-06-24,"/api/v1/people/8474584"
"8475795","Dylan","McIlrath","CAN","Winnipeg","D",1992-04-20,"/api/v1/people/8475795"
"8469755","Brandon","Segal","CAN","Richmond","RW",1983-07-12,"/api/v1/people/8469755"
"8476844","Niklas","Svedberg","SWE","Sollentuna","G",1989-09-04,"/api/v1/people/8476844"
"8465951","Matt","Cooke","CAN","Belleville","LW",1978-09-07,"/api/v1/people/8465951"
"8469638","Jussi","Jokinen","FIN","Kalajoki","LW",1983-04-01,"/api/v1/people/8469638"
"8468542","Paul","Martin","USA","Minneapolis","D",1981-03-05,"/api/v1/people/8468542"
"8462042","Jarome","Iginla","CAN","Edmonton","RW",1977-07-01,"/api/v1/people/8462042"
"8471311","Tyler","Kennedy","CAN","Sault Ste. Marie","C",1986-07-15,"/api/v1/people/8471311"
"8471675","Sidney","Crosby","CAN","Cole Harbour","C",1987-08-07,"/api/v1/people/8471675"
"8466160","Brenden","Morrow","CAN","Carlyle","LW",1979-01-16,"/api/v1/people/8466160"
"8470543","Chris","Kunitz","CAN","Regina","LW",1979-09-26,"/api/v1/people/8470543"
"8476211","Carter","Camper","USA","Cleveland","C",1988-07-06,"/api/v1/people/8476211"
"8475761","Beau","Bennett","USA","Gardena","RW",1991-11-27,"/api/v1/people/8475761"
"8471724","Kris","Letang","CAN","Montreal","D",1987-04-24,"/api/v1/people/8471724"
"8468498","Brooks","Orpik","USA","San Francisco","D",1980-09-26,"/api/v1/people/8468498"
"8466393","Pascal","Dupuis","CAN","Laval","RW",1979-04-07,"/api/v1/people/8466393"
"8471246","Chris","Bourque","USA","Boston","LW",1986-01-29,"/api/v1/people/8471246"
"8471856","Joe","Vitale","USA","St. Louis","C",1985-08-20,"/api/v1/people/8471856"
"8471215","Evgeni","Malkin","RUS","Magnitogorsk","C",1986-07-31,"/api/v1/people/8471215"
"8460712","Tomas","Vokoun","CZE","Karlovy Vary","G",1976-07-02,"/api/v1/people/8460712"
"8474091","Brandon","Sutter","CAN","Huntington","C",1989-02-14,"/api/v1/people/8474091"
"8471702","Matt","Niskanen","USA","Virginia","D",1986-12-06,"/api/v1/people/8471702"
"8468114","Douglas","Murray","SWE","Bromma","D",1980-03-12,"/api/v1/people/8468114"
"8465166","Craig","Adams","CAN","Seria","RW",1977-04-26,"/api/v1/people/8465166"
"8468674","Deryk","Engelland","CAN","Edmonton","D",1982-04-03,"/api/v1/people/8468674"
"8471707","James","Neal","CAN","Whitby","LW",1987-09-03,"/api/v1/people/8471707"
"8474138","Dustin","Jeffrey","CAN","Sarnia","LW",1988-02-27,"/api/v1/people/8474138"
"8467580","Mark","Eaton","USA","Wilmington","D",1977-05-06,"/api/v1/people/8467580"
"8470854","Tanner","Glass","CAN","Regina","LW",1983-11-29,"/api/v1/people/8470854"
"8475155","Simon","Despres","CAN","Laval","D",1991-07-27,"/api/v1/people/8475155"
"8474145","Robert","Bortuzzo","CAN","Thunder Bay","D",1989-03-18,"/api/v1/people/8474145"
"8470594","Marc-Andre","Fleury","CAN","Sorel","G",1984-11-28,"/api/v1/people/8470594"
"8473553","Jeff","Zatkoff","USA","Detroit","G",1987-06-09,"/api/v1/people/8473553"
"8471716","Justin","Abdelkader","USA","Muskegon","LW",1987-02-25,"/api/v1/people/8471716"
"8471956","Andrew","Desjardins","CAN","Lively","LW",1986-07-27,"/api/v1/people/8471956"
"8467331","Brad","Stuart","CAN","Rocky Mountain House","D",1979-11-06,"/api/v1/people/8467331"
"8470861","Sean","Sullivan","USA","Boston","D",1984-03-29,"/api/v1/people/8470861"
"8467096","Dan","Boyle","CAN","Ottawa","D",1976-07-12,"/api/v1/people/8467096"
"8474027","Justin","Braun","USA","Minneapolis","D",1987-02-10,"/api/v1/people/8474027"
"8471794","Darren","Helm","CAN","St. Andrews","C",1987-01-21,"/api/v1/people/8471794"
"8470622","Patrick","Eaves","USA","Calgary","RW",1984-05-01,"/api/v1/people/8470622"
"8459514","Jamal","Mayers","CAN","Toronto","RW",1974-10-24,"/api/v1/people/8459514"
"8474667","Harri","Sateri","FIN","Toijala","G",1989-12-29,"/api/v1/people/8474667"
"8474550","Antti","Niemi","FIN","Vantaa","G",1983-08-29,"/api/v1/people/8474550"
"8474032","Nick","Petrecki","USA","Schenectady","D",1989-07-11,"/api/v1/people/8474032"
"8475202","Taylor","Doherty","CAN","Cambridge","D",1991-03-02,"/api/v1/people/8475202"
"8470273","Ian","White","CAN","Steinbach","D",1984-06-04,"/api/v1/people/8470273"
"8471682","Devin","Setoguchi","CAN","Taber","RW",1987-01-01,"/api/v1/people/8471682"
"8467928","Doug","Janik","USA","Agawam","D",1980-03-26,"/api/v1/people/8467928"
"8446485","Kris","Draper","CAN","Toronto","C",1971-05-24,"/api/v1/people/8446485"
"8470318","Jonathan","Ericsson","SWE","Karlskrona","D",1984-03-02,"/api/v1/people/8470318"
"8468577","Niclas","Wallin","SWE","Boden","D",1975-02-20,"/api/v1/people/8468577"
"8475607","Cameron","MacIntyre","CAN","Sooke","RW",1985-10-03,"/api/v1/people/8475607"
"8470794","Joe","Pavelski","USA","Plover","C",1984-07-11,"/api/v1/people/8470794"
"8473465","Jamie","McGinn","CAN","Fergus","LW",1988-08-05,"/api/v1/people/8473465"
"8470280","Ben","Eager","CAN","Ottawa","LW",1984-01-22,"/api/v1/people/8470280"
"8471693","Jakub","Kindl","CZE","Sumperk","D",1987-02-10,"/api/v1/people/8471693"
"8464962","Ruslan","Salei","BLR","Minsk","D",1974-11-02,"/api/v1/people/8464962"
"8467514","Pavel","Datsyuk","RUS","Sverdlovsk","C",1978-07-20,"/api/v1/people/8467514"
"8466149","Daniel","Cleary","CAN","Carbonear","RW",1978-12-18,"/api/v1/people/8466149"
"8467478","Kent","Huskins","CAN","Almonte","D",1979-05-04,"/api/v1/people/8467478"
"8470201","Jiri","Hudler","CZE","Olomouc","RW",1984-01-04,"/api/v1/people/8470201"
"8470047","Valtteri","Filppula","FIN","Vantaa","C",1984-03-20,"/api/v1/people/8470047"
"8468482","Dany","Heatley","CAN","Freiburg","LW",1981-01-21,"/api/v1/people/8468482"
"8468083","Henrik","Zetterberg","SWE","Njurunda","LW",1980-10-09,"/api/v1/people/8468083"
"8471338","Torrey","Mitchell","CAN","Greenfield Park","C",1985-01-30,"/api/v1/people/8471338"
"8473558","Cory","Emmerton","CAN","St. Thomas","C",1988-06-01,"/api/v1/people/8473558"
"8474053","Logan","Couture","CAN","Guelph","C",1989-03-28,"/api/v1/people/8474053"
"8469581","Kyle","Wellwood","CAN","Windsor","C",1983-05-16,"/api/v1/people/8469581"
"8473562","John","McCarthy","USA","Boston","C",1986-08-09,"/api/v1/people/8473562"
"8474090","Brendan","Smith","CAN","Mimico","D",1989-02-08,"/api/v1/people/8474090"
"8466139","Patrick","Marleau","CAN","Aneroid","C",1979-09-15,"/api/v1/people/8466139"
"8471309","Johan","Franzen","SWE","Vetlanda","RW",1979-12-23,"/api/v1/people/8471309"
"8466138","Joe","Thornton","CAN","London","C",1979-07-02,"/api/v1/people/8466138"
"8470778","Drew","Miller","USA","Dover","LW",1984-02-17,"/api/v1/people/8470778"
"8470657","Jimmy","Howard","USA","Syracuse","G",1984-03-26,"/api/v1/people/8470657"
"8471306","Thomas","Greiss","DEU","Fussen","G",1986-01-29,"/api/v1/people/8471306"
"8457063","Nicklas","Lidstrom","SWE","Vasteras","D",1970-04-28,"/api/v1/people/8457063"
"8471709","Marc-Edouard","Vlasic","CAN","Montreal","D",1987-03-30,"/api/v1/people/8471709"
"8474739","Tommy","Wingels","USA","Evanston","C",1988-04-12,"/api/v1/people/8474739"
"8459687","Scott","Nichol","CAN","Edmonton","C",1974-12-31,"/api/v1/people/8459687"
"8473600","Benn","Ferriero","USA","Boston","RW",1987-04-29,"/api/v1/people/8473600"
"8475625","Matt","Irwin","CAN","Victoria","D",1987-11-29,"/api/v1/people/8475625"
"8459444","Todd","Bertuzzi","CAN","Sudbury","RW",1975-02-02,"/api/v1/people/8459444"
"8475346","Marek","Viedensky","SVK","Handlova","C",1990-08-18,"/api/v1/people/8475346"
"8475622","Carter","Hutton","CAN","Thunder Bay","G",1985-12-19,"/api/v1/people/8475622"
